hours_sleep,productivity
6.257465,5.9989896
4.128296,1.9494522
4.097617,2.120717
4.4580936,2.3116674
5.301959,4.08358
3.7375169,2.2245128
9.434645,8.136848
5.805376,3.2632415
9.511389,7.400874
7.590537,5.553787
3.5362105,1.4946322
8.922123,8.723626
5.536993,3.7212205
5.1583586,4.810178
3.5947533,2.6110833
3.0204377,1.2684581
7.501387,7.0107794
5.7354465,3.9903216
7.862631,7.2008157
3.627678,0.9400979
9.098502,8.038595
3.930812,1.3877239
5.895643,6.3783417
7.231044,5.4482737
8.306881,6.848356
9.325586,6.9048142
9.688357,7.5500855
3.7247725,2.4867473
7.3808355,5.3172956
4.9945593,3.5203743
6.116453,5.9412384
3.8802848,1.9171708
9.688005,8.336882
3.9311733,1.2609835
8.37058,8.480754
7.7300386,6.4063916
7.637346,6.0146637
4.6077385,3.1591508
9.681331,9.547557
7.2691264,6.9953184
6.95024,6.7807665
3.4156082,1.8787133
7.9692597,7.643499
5.974928,4.025466
4.896565,3.4390562
9.506313,8.456326
7.2803206,5.907516
4.5635324,2.5297906
4.7285137,2.8145256
6.332855,4.532631
8.454265,6.4519153
5.605632,4.410779
4.502988,3.2853332
5.30145,3.2576632
3.8852382,2.438461
7.748214,6.740794
9.209141,8.17874
3.204959,0.58350426
7.3128777,7.3415213
8.308071,7.8198915
7.1346526,5.527742
5.253564,3.2918584
8.3267975,7.730165
8.339296,7.5971026
7.8087454,5.8615155
5.884975,5.0225205
5.5731955,3.7702706
6.874433,5.5035033
5.8817105,4.0315175
5.4569964,3.0886536
8.737225,6.8102
9.507898,8.408209
6.153509,4.0003157
5.716361,4.95311
6.551073,6.150134
6.2910213,4.654981
7.3414392,6.5951867
7.480818,6.304867
3.3211012,2.415478
5.208368,4.680459
9.4474535,7.937557
7.8634424,5.9696636
6.3259187,4.1874323
4.3898296,0.7753773
4.358682,3.3622408
3.364816,2.3571718
5.3591313,4.6265273
7.681965,7.2577653
8.731676,8.32054
8.115941,6.697297
3.4061959,0.6557996
4.3952312,2.9891207
5.947642,4.0541387
9.885723,9.004883
7.0063014,5.3939853
5.593602,4.288846
7.9480033,6.0464797
5.1669145,3.7080126
4.2346053,3.0754213
9.0546055,7.588972
4.9085436,3.5452998
5.7983665,4.068875
3.0181851,-0.14396918
8.842447,8.018459
9.151721,8.698346
7.7755685,5.485882
4.0595403,3.5405755
3.0457103,0.31649673
3.6573737,2.6361067
9.109951,8.537267
8.18037,7.6207137
9.445266,8.343694
8.333545,6.1131935
7.385823,6.250954
6.4657254,5.3155227
3.838229,2.0788047
3.5012975,2.810855
3.2262797,1.205534
7.932767,7.1611395
4.781612,2.8426409
5.795616,3.7691357
4.4857316,2.8738027
5.8622174,3.0583568
4.0365777,2.3399544
4.213045,1.541698
7.660988,7.3164835
5.4598126,3.7046993
8.660701,8.316705
5.377169,4.428087
3.9325147,1.2606862
5.882464,6.0763807
4.803384,2.281241
5.4292045,4.8672204
3.1680155,2.903439
8.458219,8.042124
4.063284,2.859344
8.259162,8.278643
8.088244,6.90768
9.000515,9.388165
3.8153179,4.294567
9.017189,8.21415
4.8453693,3.6341443
7.7987423,7.584318
9.786901,9.739433
6.0063887,5.074187
6.472933,7.827696
5.694193,4.6427355
3.5775542,2.4555788
8.17966,7.930617
3.0254874,1.3415852
8.6728,7.7270546
9.118788,9.157344
9.809973,7.136059
5.674422,4.936719
3.6242533,1.3441064
7.286906,5.118876
8.4334955,7.4333577
3.0164194,0.69284683
5.7055573,3.7865605
4.401906,3.3241932
6.1938767,4.144319
4.7772527,2.9883704
5.0693135,3.996884
5.388894,5.2740154
3.173936,1.5687188
9.371777,8.514614
9.434159,8.755793
5.9509583,4.837273
6.101413,4.4865932
5.0715804,2.748749
3.3392801,1.2751181
3.0939946,1.2575696
7.8008046,6.4112835
4.5783386,3.6891458
4.2499304,3.3934965
6.2269187,4.726504
5.334461,3.4133496
5.367677,3.8350089
